value
479
6
574
212
3
673
3661
178
26
176
32
330
861
24
1191
258
403
85
8059
207
1129
59
177
42
67
19
118
206
49
529
52
38
27
29
724
241
214
735
261
11
235
53
493
39
114
647
335
78
149
26
42
39
54
10
178
303
745
161
16
100
114
172
303
30
22
297
536
151
1104
94
25
258
81
245
149
59
66
239
11
78
324
102
2
54
128
228
361
315
26
374
184
50
2
19
41
58
10
903
697
164
99
19
207
120
45
373
233
43
104
31
13
101
192
308
30
393
84
36
552
95
2868
393
191
578
357
25
66
15
141
109
419
387
85
149
149
929
16
23
84
50
355
92
208
28
464
56
18
55
55
59
41
25
249
98
1
77
222
290
125
22
152
97
9
186
37
11
93
68
1
24
36
124
337
40
31
479
1
1014
227
117
49
114
26
57
7
35
21
2784
46
15
38
163
44
162
257
105
93
46
16
25
32
54
36
263
49
9
44
1
15
55
30
86
16
118
111
8
32
3
3
34
16
7
7
10
4
12
19
4
15
9
14
3
6
44
13
2
5
17
51
38
8
16
5
11
5
17
10
3
4
4
